imdb_id,title,director,year,genre
tt10009342,Trouble Makers,Chunxiao Li,2019,Comedy Romance
tt10009434,Family Obligations,Kenneth R. Frank,2019,Comedy Drama
tt10009602,My Name Is Daniel,Daniel Gonçalves,2018,Documentary
tt10009878,Encrypted: The Cyber Crime,Anand Bhatt,2019,Drama
tt10009960,The Stateless Diplomat,Mimi Malayan,2018,Documentary
tt10009978,Bigger Like Me (Extended Director's Cut),Greg Bergman,2019,Documentary
tt10010368,The Australian Dream,Daniel Gordon,2019,Documentary Drama Sport
tt10010748,Mossville: When Great Trees Fall,Alexander Glustrom,2019,Documentary
tt10010814,Turtle,Dinesh S. Yadav,2018,Drama
tt10010820,Green Brothers,John D'Amico,2017,Action Thriller
tt10010950,Rocky Mountains Encounter,John Banovich,2019,Documentary
tt10011102,The Sholay Girl,Aditya Sarpotdar,2019,Action Biography Drama
tt10011206,Dhingana,Chandrakant Dudhgaokar,2017,Comedy
tt10011226,17 Blocks,Davy Rothbart,2019,Documentary
tt10011232,Leftover Women,Shosh Shlam,2019,Documentary
tt10011244,My Neighbor Wants Me Dead,Nick Gatsby,2019,Comedy Fantasy Horror
tt10011252,Watson,Lesley Chilcott,2019,Biography Documentary
tt10011264,A Woman's Work: The NFL's Cheerleader Problem,Yu Gu,2019,Documentary Music Sport
tt10011270,The Dominican Dream,Jonathan Hock,2019,Biography Documentary Sport
tt10011284,Lil' Buck: Real Swan,Louis Wallecan,2019,Documentary
